lambda, albedo, <cos>, # of angles
   0.15380   0.38632   0.66109   161
cos(theta),     S11,               S12,             S33,             S34
-0.1875  1.3373900443E-01 -4.3112418318E-02 -9.3710247448E-03  3.8464680861E-02
-0.1750  1.3531331823E-01 -4.3805875985E-02 -7.4844601021E-03  3.9318818061E-02
-0.1625  1.3693109494E-01 -4.4502587173E-02 -5.5555318660E-03  4.0188938518E-02
-0.1500  1.3859383040E-01 -4.5202544595E-02 -3.5827082516E-03  4.1075316450E-02
-0.1375  1.4030308015E-01 -4.5905739434E-02 -1.5644082790E-03  4.1978247267E-02
-0.1250  1.4206046245E-01 -4.6612165654E-02  5.0100474412E-04  4.2898052740E-02
-0.1125  1.4386766102E-01 -4.7321824830E-02  2.6152323018E-03  4.3835082715E-02
-0.1000  1.4572642800E-01 -4.8034729896E-02  4.7800504392E-03  4.4789712726E-02
-0.0875  1.4763858735E-01 -4.8750906544E-02  6.9973181049E-03  4.5762338355E-02
-0.0750  1.4960603905E-01 -4.9470391766E-02  9.2689824913E-03  4.6753368344E-02
-0.0625  1.5163076397E-01 -5.0193230007E-02  1.1597080957E-02  4.7763219018E-02
-0.0500  1.5371482937E-01 -5.0919468198E-02  1.3983740468E-02  4.8792312166E-02
-0.0375  1.5586039465E-01 -5.1649151305E-02  1.6431176529E-02  4.9841077370E-02
-0.0250  1.5806971715E-01 -5.2382319792E-02  1.8941693909E-02  5.0909958195E-02
-0.0125  1.6034515793E-01 -5.3119009700E-02  2.1517690903E-02  5.1999420328E-02
-0.0000  1.6268918773E-01 -5.3859255071E-02  2.4161667683E-02  5.3109959102E-02
 0.0125  1.6510439318E-01 -5.4603091687E-02  2.6876237901E-02  5.4242104196E-02
 0.0250  1.6759348375E-01 -5.5350560685E-02  2.9664141658E-02  5.5396420443E-02
 0.0375  1.7015929953E-01 -5.6101710831E-02  3.2528257714E-02  5.6573505252E-02
 0.0500  1.7280481989E-01 -5.6856598857E-02  3.5471613446E-02  5.7773984389E-02
 0.0625  1.7553317296E-01 -5.7615288097E-02  3.8497392284E-02  5.8998508415E-02
 0.0750  1.7834764576E-01 -5.8377846253E-02  4.1608939689E-02  6.0247751657E-02
 0.0875  1.8125169496E-01 -5.9144343359E-02  4.4809769560E-02  6.1522414405E-02
 0.1000  1.8424895812E-01 -5.9914850726E-02  4.8103572958E-02  6.2823227704E-02
 0.1125  1.8734326579E-01 -6.0689441098E-02  5.1494230252E-02  6.4150959113E-02
 0.1250  1.9053865442E-01 -6.1468189628E-02  5.4985826572E-02  6.5506417705E-02
 0.1375  1.9383938046E-01 -6.2251175010E-02  5.8582669458E-02  6.6890457204E-02
 0.1500  1.9724993584E-01 -6.3038480148E-02  6.2289307231E-02  6.8303977299E-02
 0.1625  2.0077506473E-01 -6.3830192165E-02  6.6110547046E-02  6.9747924195E-02
 0.1750  2.0441978192E-01 -6.4626402011E-02  7.0051472645E-02  7.1223291764E-02
 0.1875  2.0818939291E-01 -6.5427204216E-02  7.4117462789E-02  7.2731124328E-02
 0.2000  2.1208951576E-01 -6.6232697254E-02  7.8314211926E-02  7.4272521116E-02
 0.2125  2.1612610521E-01 -6.7042984623E-02  8.2647754325E-02  7.5848641585E-02
 0.2250  2.2030547899E-01 -6.7858176284E-02  8.7124492117E-02  7.7460710375E-02
 0.2375  2.2463434679E-01 -6.8678389848E-02  9.1751226718E-02  7.9110021038E-02
 0.2500  2.2911984167E-01 -6.9503751008E-02  9.6535192631E-02  8.0797938575E-02
 0.2625  2.3376955441E-01 -7.0334393068E-02  1.0148409293E-01  8.2525901654E-02
 0.2750  2.3859157096E-01 -7.1170455927E-02  1.0660613654E-01  8.4295425784E-02
 0.2875  2.4359451354E-01 -7.2012085121E-02  1.1191007853E-01  8.6108108327E-02
 0.3000  2.4878758628E-01 -7.2859431467E-02  1.1740526488E-01  8.7965635393E-02
 0.3125  2.5418062594E-01 -7.3712651454E-02  1.2310168333E-01  8.9869789838E-02
 0.3250  2.5978415856E-01 -7.4571908103E-02  1.2901002081E-01  9.1822459299E-02
 0.3375  2.6560946233E-01 -7.5437371721E-02  1.3514172748E-01  9.3825643624E-02
 0.3500  2.7166863742E-01 -7.6309220074E-02  1.4150908694E-01  9.5881461963E-02
 0.3625  2.7797468311E-01 -7.7187637810E-02  1.4812529286E-01  9.7992160510E-02
 0.3750  2.8454158339E-01 -7.8072815339E-02  1.5500453296E-01  1.0016012221E-01
 0.3875  2.9138440227E-01 -7.8964947589E-02  1.6216208249E-01  1.0238787932E-01
 0.4000  2.9851939043E-01 -7.9864233033E-02  1.6961440953E-01  1.0467812899E-01
 0.4125  3.0596410525E-01 -8.0770873163E-02  1.7737929461E-01  1.0703375163E-01
 0.4250  3.1373754596E-01 -8.1685072430E-02  1.8547596658E-01  1.0945783164E-01
 0.4375  3.2186030631E-01 -8.2607038637E-02  1.9392525721E-01  1.1195368033E-01
 0.4500  3.3035474742E-01 -8.3536983825E-02  2.0274977676E-01  1.1452486127E-01
 0.4625  3.3924519392E-01 -8.4475125770E-02  2.1197411442E-01  1.1717521832E-01
 0.4750  3.4855815745E-01 -8.5421690144E-02  2.2162506768E-01  1.1990890606E-01
 0.4875  3.5832259220E-01 -8.6376913196E-02  2.3173190550E-01  1.2273042204E-01
 0.5000  3.6857018798E-01 -8.7341044543E-02  2.4232667030E-01  1.2564464004E-01
 0.5125  3.7933570686E-01 -8.8314349447E-02  2.5344452394E-01  1.2865684361E-01
 0.5250  3.9065737094E-01 -8.9297109825E-02  2.6512414346E-01  1.3177276002E-01
 0.5375  4.0257730986E-01 -9.0289623113E-02  2.7740817332E-01  1.3499859529E-01
 0.5500  4.1514207841E-01 -9.1292198003E-02  2.9034374248E-01  1.3834107247E-01
 0.5625  4.2840325690E-01 -9.2305145980E-02  3.0398305634E-01  1.4180747669E-01
 0.5750  4.4241814923E-01 -9.3328767694E-02  3.1838407687E-01  1.4540571307E-01
 0.5875  4.5725059767E-01 -9.4363333722E-02  3.3361130829E-01  1.4914438685E-01
 0.6000  4.7297193848E-01 -9.5409060264E-02  3.4973671371E-01  1.5303291861E-01
 0.6125  4.8966213065E-01 -9.6466081854E-02  3.6684079839E-01  1.5708171111E-01
 0.6250  5.0741110094E-01 -9.7534425201E-02  3.8501391159E-01  1.6130238637E-01
 0.6375  5.2632036422E-01 -9.8613990577E-02  4.0435783953E-01  1.6570811177E-01
 0.6500  5.4650499921E-01 -9.9704549626E-02  4.2498778931E-01  1.7031402970E-01
 0.6625  5.6809608772E-01 -1.0080577038E-01  4.4703489781E-01  1.7513779596E-01
 0.6750  5.9124376183E-01 -1.0191728099E-01  4.7064943955E-01  1.8020021348E-01
 0.6875  6.1612104771E-01 -1.0303878182E-01  4.9600495133E-01  1.8552592062E-01
 0.7000  6.4292874703E-01 -1.0417020972E-01  5.2330353646E-01  1.9114405469E-01
 0.7125  6.7190165514E-01 -1.0531194684E-01  5.5278264896E-01  1.9708876539E-01
 0.7250  7.0331647549E-01 -1.0646504737E-01  5.8472368433E-01  2.0339940644E-01
 0.7375  7.3750184966E-01 -1.0763142850E-01  6.1946270803E-01  2.1012020186E-01
 0.7500  7.7485098005E-01 -1.0881393709E-01  6.5740363731E-01  2.1729919340E-01
 0.7625  8.1583738785E-01 -1.1001616450E-01  6.9903416877E-01  2.2498636953E-01
 0.7750  8.6103445775E-01 -1.1124184727E-01  7.4494476518E-01  2.3323111384E-01
 0.7875  9.1113966376E-01 -1.1249367559E-01  7.9585120110E-01  2.4207957043E-01
 0.8000  9.6700494842E-01 -1.1377135949E-01  8.5262177141E-01  2.5157329209E-01
 0.8125  1.0296760470E+00 -1.1506890680E-01  9.1631177876E-01  2.6175168611E-01
 0.8250  1.1004463865E+00 -1.1637128967E-01  9.8821122411E-01  2.7266230805E-01
 0.8375  1.1809369739E+00 -1.1765105671E-01  1.0699182990E+00  2.8438480746E-01
 0.8500  1.2732249636E+00 -1.1886600033E-01  1.1634640057E+00  2.9707577453E-01
 0.8625  1.3800648097E+00 -1.1995966022E-01  1.2715365458E+00  3.1104165092E-01
 0.8750  1.5052847387E+00 -1.2086701678E-01  1.3978955990E+00  3.2684278054E-01
 0.8875  1.6545109689E+00 -1.2152766851E-01  1.5481389742E+00  3.4541895038E-01
 0.9000  1.8364957762E+00 -1.2190695922E-01  1.7311090951E+00  3.6819714180E-01
 0.9125  2.0655451566E+00 -1.2201971546E-01  1.9614433802E+00  3.9708147784E-01
 0.9250  2.3659397410E+00 -1.2193738787E-01  2.2641572514E+00  4.3410979300E-01
 0.9375  2.7800037261E+00 -1.2173007934E-01  2.6828756580E+00  4.8035199745E-01
 0.9500  3.3831130542E+00 -1.2123653614E-01  3.2948928970E+00  5.3325868638E-01
 0.9625  4.3133236047E+00 -1.1943858193E-01  4.2404917452E+00  5.8103030299E-01
 0.9750  5.8402016087E+00 -1.1293032541E-01  5.7906302629E+00  5.9129756749E-01
 0.9875  8.5999481897E+00 -9.1202155606E-02  8.5793578221E+00  4.8510943114E-01
 1.0000  1.5015113063E+01  2.2384001949E-45  1.5015113063E+01 -4.9866098317E-18
