lambda, albedo, <cos>, # of angles
   0.44500   0.65490   0.56473   161
cos(theta),     S11,               S12,             S33,             S34
-0.1750  1.6463089360E-01 -3.1028112011E-02  3.5322197295E-02  2.7070146121E-02
-0.1625  1.6657766049E-01 -3.1704932116E-02  3.7880263694E-02  2.8075889122E-02
-0.1500  1.6860476383E-01 -3.2372263282E-02  4.0510075144E-02  2.9090103191E-02
-0.1375  1.7071388079E-01 -3.3029981302E-02  4.3213348133E-02  3.0113040037E-02
-0.1250  1.7290672932E-01 -3.3677936726E-02  4.5991839169E-02  3.1145038993E-02
-0.1125  1.7518507984E-01 -3.4315955465E-02  4.8847356525E-02  3.2186524943E-02
-0.1000  1.7755076689E-01 -3.4943839489E-02  5.1781772012E-02  3.3238006587E-02
-0.0875  1.8000570087E-01 -3.5561367607E-02  5.4797032799E-02  3.4300075060E-02
-0.0750  1.8255187976E-01 -3.6168296339E-02  5.7895173367E-02  3.5373402944E-02
-0.0625  1.8519140103E-01 -3.6764360877E-02  6.1078327632E-02  3.6458743656E-02
-0.0500  1.8792647362E-01 -3.7349276149E-02  6.4348741328E-02  3.7556931241E-02
-0.0375  1.9075943013E-01 -3.7922737982E-02  6.7708784703E-02  3.8668880554E-02
-0.0250  1.9369273929E-01 -3.8484424383E-02  7.1160965637E-02  3.9795587839E-02
-0.0125  1.9672901869E-01 -3.9033996937E-02  7.4707943250E-02  4.0938131698E-02
-0.0000  1.9987104807E-01 -3.9571102339E-02  7.8352542121E-02  4.2097674418E-02
 0.0125  2.0312178290E-01 -4.0095374059E-02  8.2097767207E-02  4.3275463669E-02
 0.0250  2.0648436880E-01 -4.0606434171E-02  8.5946819596E-02  4.4472834514E-02
 0.0375  2.0996215648E-01 -4.1103895331E-02  8.9903113213E-02  4.5691211737E-02
 0.0500  2.1355871769E-01 -4.1587362935E-02  9.3970292610E-02  4.6932112427E-02
 0.0625  2.1727786204E-01 -4.2056437457E-02  9.8152252000E-02  4.8197148797E-02
 0.0750  2.2112365505E-01 -4.2510716990E-02  1.0245315568E-01  4.9488031184E-02
 0.0875  2.2510043740E-01 -4.2949799974E-02  1.0687746002E-01  5.0806571188E-02
 0.1000  2.2921284580E-01 -4.3373288162E-02  1.1142993720E-01  5.2154684877E-02
 0.1125  2.3346583536E-01 -4.3780789785E-02  1.1611570088E-01  5.3534396018E-02
 0.1250  2.3786470397E-01 -4.4171922967E-02  1.2094023401E-01  5.4947839248E-02
 0.1375  2.4241511871E-01 -4.4546319367E-02  1.2590941903E-01  5.6397263112E-02
 0.1500  2.4712314462E-01 -4.4903628066E-02  1.3102957066E-01  5.7885032890E-02
 0.1625  2.5199527606E-01 -4.5243519696E-02  1.3630747154E-01  5.9413633116E-02
 0.1750  2.5703847097E-01 -4.5565690823E-02  1.4175041102E-01  6.0985669701E-02
 0.1875  2.6226018824E-01 -4.5869868565E-02  1.4736622735E-01  6.2603871536E-02
 0.2000  2.6766842865E-01 -4.6155815460E-02  1.5316335366E-01  6.4271091477E-02
 0.2125  2.7327177960E-01 -4.6423334564E-02  1.5915086791E-01  6.5990306582E-02
 0.2250  2.7907946405E-01 -4.6672274767E-02  1.6533854730E-01  6.7764617457E-02
 0.2375  2.8510139409E-01 -4.6902536335E-02  1.7173692754E-01  6.9597246587E-02
 0.2500  2.9134822952E-01 -4.7114076622E-02  1.7835736723E-01  7.1491535472E-02
 0.2625  2.9783144194E-01 -4.7306915973E-02  1.8521211791E-01  7.3450940426E-02
 0.2750  3.0456338481E-01 -4.7481143750E-02  1.9231440024E-01  7.5479026851E-02
 0.2875  3.1155737001E-01 -4.7636924476E-02  1.9967848679E-01  7.7579461784E-02
 0.3000  3.1882775152E-01 -4.7774504048E-02  2.0731979192E-01  7.9756004545E-02
 0.3125  3.2639001679E-01 -4.7894215970E-02  2.1525496944E-01  8.2012495229E-02
 0.3250  3.3426088643E-01 -4.7996487556E-02  2.2350201860E-01  8.4352840848E-02
 0.3375  3.4245842299E-01 -4.8081846043E-02  2.3208039908E-01  8.6780998848E-02
 0.3500  3.5100214963E-01 -4.8150924548E-02  2.4101115571E-01  8.9300957747E-02
 0.3625  3.5991317938E-01 -4.8204467780E-02  2.5031705374E-01  9.1916714621E-02
 0.3750  3.6921435599E-01 -4.8243337423E-02  2.6002272540E-01  9.4632249118E-02
 0.3875  3.7893040738E-01 -4.8268517098E-02  2.7015482883E-01  9.7451493704E-02
 0.4000  3.8908811260E-01 -4.8281116782E-02  2.8074222017E-01  1.0037829978E-01
 0.4125  3.9971648362E-01 -4.8282376550E-02  2.9181614009E-01  1.0341639933E-01
 0.4250  4.1084696305E-01 -4.8273669529E-02  3.0341041577E-01  1.0656936169E-01
 0.4375  4.2251363927E-01 -4.8256503878E-02  3.1556167978E-01  1.0984054504E-01
 0.4500  4.3475348043E-01 -4.8232523635E-02  3.2830960712E-01  1.1323304221E-01
 0.4625  4.4760658894E-01 -4.8203508243E-02  3.4169717214E-01  1.1674962027E-01
 0.4750  4.6111647833E-01 -4.8171370534E-02  3.5577092698E-01  1.2039265348E-01
 0.4875  4.7533037439E-01 -4.8138152943E-02  3.7058130345E-01  1.2416404904E-01
 0.5000  4.9029954301E-01 -4.8106021688E-02  3.8618294058E-01  1.2806516503E-01
 0.5125  5.0607964693E-01 -4.8077258636E-02  4.0263504014E-01  1.3209672007E-01
 0.5250  5.2273113452E-01 -4.8054250534E-02  4.2000175299E-01  1.3625869390E-01
 0.5375  5.4031966353E-01 -4.8039475258E-02  4.3835259923E-01  1.4055021831E-01
 0.5500  5.5891656344E-01 -4.8035484695E-02  4.5776292572E-01  1.4496945763E-01
 0.5625  5.7859934061E-01 -4.8044883833E-02  4.7831440508E-01  1.4951347797E-01
 0.5750  5.9945223082E-01 -4.8070305589E-02  5.0009558080E-01  1.5417810434E-01
 0.5875  6.2156680477E-01 -4.8114380862E-02  5.2320246407E-01  1.5895776476E-01
 0.6000  6.4504263285E-01 -4.8179703229E-02  5.4773918870E-01  1.6384532025E-01
 0.6125  6.6998801678E-01 -4.8268787654E-02  5.7381873192E-01  1.6883187949E-01
 0.6250  6.9652079710E-01 -4.8384022502E-02  6.0156371033E-01  1.7390659688E-01
 0.6375  7.2476924716E-01 -4.8527614076E-02  6.3110726220E-01  1.7905645235E-01
 0.6500  7.5487306680E-01 -4.8701522772E-02  6.6259402977E-01  1.8426601107E-01
 0.6625  7.8698449162E-01 -4.8907389848E-02  6.9618125866E-01  1.8951716057E-01
 0.6750  8.2126953765E-01 -4.9146453620E-02  7.3204003530E-01  1.9478882237E-01
 0.6875  8.5790940621E-01 -4.9419453669E-02  7.7035668920E-01  2.0005663391E-01
 0.7000  8.9710208022E-01 -4.9726521318E-02  8.1133439352E-01  2.0529259527E-01
 0.7125  9.3906415179E-01 -5.0067054155E-02  8.5519500727E-01  2.1046467285E-01
 0.7250  9.8403293295E-01 -5.0439571609E-02  9.0218121467E-01  2.1553634892E-01
 0.7375  1.0322689162E+00 -5.0841547485E-02  9.5255903394E-01  2.2046610062E-01
 0.7500  1.0840586733E+00 -5.1269213554E-02  1.0066207896E+00  2.2520678504E-01
 0.7625  1.1397183093E+00 -5.1717325578E-02  1.0646886723E+00  2.2970489533E-01
 0.7750  1.1995976272E+00 -5.2178878880E-02  1.1271190495E+00  2.3389963661E-01
 0.7875  1.2640852135E+00 -5.2644754011E-02  1.1943077428E+00  2.3772174592E-01
 0.8000  1.3336147279E+00 -5.3103262986E-02  1.2666965599E+00  2.4109194468E-01
 0.8125  1.4086727821E+00 -5.3539551173E-02  1.3447814638E+00  2.4391885955E-01
 0.8250  1.4898089352E+00 -5.3934786594E-02  1.4291228900E+00  2.4609617079E-01
 0.8375  1.5776485249E+00 -5.4265033209E-02  1.5203588953E+00  2.4749863638E-01
 0.8500  1.6729093281E+00 -5.4499652036E-02  1.6192220526E+00  2.4797647838E-01
 0.8625  1.7764234147E+00 -5.4598995500E-02  1.7265613159E+00  2.4734738679E-01
 0.8750  1.8891660815E+00 -5.4511044139E-02  1.8433704979E+00  2.4538506221E-01
 0.8875  2.0122944720E+00 -5.4166463708E-02  1.9708255562E+00  2.4180274286E-01
 0.9000  2.1471994855E+00 -5.3471310071E-02  2.1103336337E+00  2.3622948213E-01
 0.9125  2.2955759677E+00 -5.2296244089E-02  2.2635977924E+00  2.2817597918E-01
 0.9250  2.4595180843E+00 -5.0460589122E-02  2.4327027132E+00  2.1698540085E-01
 0.9375  2.6416494369E+00 -4.7708799416E-02  2.6202284035E+00  2.0176270899E-01
 0.9500  2.8453011376E+00 -4.3675809139E-02  2.8294013159E+00  1.8127330209E-01
 0.9625  3.0747561147E+00 -3.7836160024E-02  3.0642954172E+00  1.5379798812E-01
 0.9750  3.3355848891E+00 -2.9429565201E-02  3.3300999002E+00  1.1692600563E-01
 0.9875  3.6351076439E+00 -1.7352386104E-02  3.6334757420E+00  6.7260425203E-02
 1.0000  3.9830305889E+00  0.0000000000E+00  3.9830305889E+00 -4.3804743665E-19
