lambda, albedo, <cos>, # of angles
   0.55100   0.67312   0.53689   161
cos(theta),     S11,               S12,             S33,             S34
-0.1750  1.8238929344E-01 -4.1754594477E-02  3.5883486589E-02  3.3778277468E-02
-0.1625  1.8447955967E-01 -4.2469211067E-02  3.8633092920E-02  3.4946141335E-02
-0.1500  1.8663856406E-01 -4.3171860690E-02  4.1442741588E-02  3.6146698846E-02
-0.1375  1.8886954351E-01 -4.3862884147E-02  4.4316223771E-02  3.7380669533E-02
-0.1250  1.9117583815E-01 -4.4542651822E-02  4.7257432606E-02  3.8648799027E-02
-0.1125  1.9356089734E-01 -4.5211563096E-02  5.0270371029E-02  3.9951858399E-02
-0.1000  1.9602828630E-01 -4.5870045806E-02  5.3359160227E-02  4.1290643296E-02
-0.0875  1.9858169342E-01 -4.6518555743E-02  5.6528048726E-02  4.2665972878E-02
-0.0750  2.0122493832E-01 -4.7157576193E-02  5.9781422122E-02  4.4078688555E-02
-0.0625  2.0396198062E-01 -4.7787617491E-02  6.3123813492E-02  4.5529652495E-02
-0.0500  2.0679692944E-01 -4.8409216592E-02  6.6559914495E-02  4.7019745923E-02
-0.0375  2.0973405376E-01 -4.9022936644E-02  7.0094587187E-02  4.8549867182E-02
-0.0250  2.1277779347E-01 -4.9629366557E-02  7.3732876591E-02  5.0120929552E-02
-0.0125  2.1593277136E-01 -5.0229120543E-02  7.7480024026E-02  5.1733858834E-02
-0.0000  2.1920380589E-01 -5.0822837637E-02  8.1341481246E-02  5.3389590658E-02
 0.0125  2.2259592490E-01 -5.1411181163E-02  8.5322925402E-02  5.5089067543E-02
 0.0250  2.2611438022E-01 -5.1994838156E-02  8.9430274872E-02  5.6833235665E-02
 0.0375  2.2976466324E-01 -5.2574518705E-02  9.3669705988E-02  5.8623041347E-02
 0.0500  2.3355252149E-01 -5.3150955216E-02  9.8047670701E-02  6.0459427245E-02
 0.0625  2.3748397629E-01 -5.3724901580E-02  1.0257091522E-01  6.2343328226E-02
 0.0750  2.4156534138E-01 -5.4297132225E-02  1.0724649966E-01  6.4275666925E-02
 0.0875  2.4580324282E-01 -5.4868441043E-02  1.1208181878E-01  6.6257348965E-02
 0.1000  2.5020463994E-01 -5.5439640167E-02  1.1708462379E-01  6.8289257827E-02
 0.1125  2.5477684762E-01 -5.6011558591E-02  1.2226304536E-01  7.0372249371E-02
 0.1250  2.5952755981E-01 -5.6585040606E-02  1.2762561783E-01  7.2507145961E-02
 0.1375  2.6446487438E-01 -5.7160944043E-02  1.3318130470E-01  7.4694730224E-02
 0.1500  2.6959731946E-01 -5.7740138290E-02  1.3893952543E-01  7.6935738383E-02
 0.1625  2.7493388120E-01 -5.8323502074E-02  1.4491018371E-01  7.9230853184E-02
 0.1750  2.8048403311E-01 -5.8911920985E-02  1.5110369717E-01  8.1580696378E-02
 0.1875  2.8625776703E-01 -5.9506284712E-02  1.5753102864E-01  8.3985820752E-02
 0.2000  2.9226562587E-01 -6.0107483974E-02  1.6420371908E-01  8.6446701682E-02
 0.2125  2.9851873811E-01 -6.0716407125E-02  1.7113392224E-01  8.8963728207E-02
 0.2250  3.0502885427E-01 -6.1333936393E-02  1.7833444115E-01  9.1537193579E-02
 0.2375  3.1180838540E-01 -6.1960943740E-02  1.8581876654E-01  9.4167285292E-02
 0.2500  3.1887044369E-01 -6.2598286314E-02  1.9360111738E-01  9.6854074556E-02
 0.2625  3.2622888540E-01 -6.3246801446E-02  2.0169648351E-01  9.9597505198E-02
 0.2750  3.3389835616E-01 -6.3907301183E-02  2.1012067067E-01  1.0239738197E-01
 0.2875  3.4189433892E-01 -6.4580566316E-02  2.1889034801E-01  1.0525335821E-01
 0.3000  3.5023320451E-01 -6.5267339852E-02  2.2802309821E-01  1.0816492292E-01
 0.3125  3.5893226526E-01 -6.5968319927E-02  2.3753747044E-01  1.1113138709E-01
 0.3250  3.6800983162E-01 -6.6684152086E-02  2.4745303638E-01  1.1415186937E-01
